"V1"	"V2"	"V3"	"V4"	"V5"	"V6"	"V7"	"V8"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"
"48"	81	30	9	15	25	0	22	1	0	0	0	7	9	7	6	1	1	17	8	12	6	7	0	8	0	0	2	1	8	0
"49"	79	0	0	16	14	0	14	1	1	0	1	7	4	0	13	2	2	0	3	26	12	16	9	0	0	0	1	0	0	10
"50"	65	23	6	11	18	0	25	0	3	0	1	9	8	5	9	1	2	24	13	9	11	0	6	0	1	0	1	0	12	0
"51"	75	0	9	8	25	0	17	1	5	0	2	9	13	5	7	2	1	22	10	16	12	0	7	0	1	10	0	1	10	0
"52"	52	1	0	2	33	1	9	1	0	0	1	4	0	1	3	0	0	1	0	0	4	0	0	7	0	0	0	0	1	0
"53"	86	17	0	8	26	0	9	0	0	2	0	7	8	3	14	1	1	6	6	0	4	0	0	0	0	0	0	0	11	0
"54"	38	11	5	11	9	77	11	3	2	6	1	13	21	11	18	1	0	19	13	2	7	0	0	0	2	0	1	1	9	0
"55"	55	8	8	7	27	5	24	2	2	11	6	8	4	11	6	6	0	8	24	7	6	4	0	0	0	0	0	1	0	0
"56"	76	0	0	0	13	1	14	2	0	0	1	12	16	4	31	1	1	21	10	10	0	0	13	0	3	5	0	0	0	11
"57"	87	14	3	15	22	0	40	0	0	0	1	12	4	5	2	1	2	22	5	3	11	8	1	2	1	0	2	2	0	3
"58"	39	4	8	12	29	14	20	1	0	16	4	14	9	4	14	1	1	21	26	15	7	0	0	0	1	4	1	0	2	0
"59"	43	13	2	6	7	0	17	1	0	0	2	8	2	4	4	1	2	11	5	0	4	0	0	9	0	0	0	0	4	0
"60"	56	11	5	2	22	23	7	0	0	4	2	4	5	8	4	1	2	35	9	1	14	15	1	0	0	0	1	0	0	5
"61"	62	1	7	16	14	0	25	1	0	16	2	12	14	5	9	1	2	27	22	26	11	0	0	0	0	0	1	0	13	0
"62"	62	17	6	9	21	24	24	1	1	0	1	10	16	7	9	1	3	28	14	7	12	0	1	15	0	0	1	1	1	14
"63"	88	0	7	8	11	0	24	0	0	0	0	7	3	7	16	0	1	24	14	4	17	0	0	8	1	0	1	0	2	0
"64"	49	16	5	9	18	0	19	3	1	0	1	7	11	3	10	1	1	17	14	4	10	0	3	9	2	5	1	1	18	0
"65"	87	0	0	0	14	0	4	0	1	1	1	9	11	4	15	2	2	24	2	0	5	0	0	17	0	1	2	0	0	0
